0909090908,friends,thien,nam,hue,12/03/1996,quang@gmail.com
0909090907,friends,nam,nam,hue,12/03/1996,quang@gmail.com
0909090906,friends,long,nam,hue,12/03/1996,quang@gmail.com
0909090905,friends,huy,nam,hue,12/03/1996,quang@gmail.com
0909090903,friends,han,nam,hue,12/03/1996,quang@gmail.com
0909090902,friends,phong,nam,hue,12/03/1996,quang@gmail.com
0909090901,friends,duong,nam,hue,12/03/1996,quang@gmail.com
0909090900,bạn thân,nam,nam,qb,23/4/2000,nam@gmail.com
0909090909,friends,quang,nam,hue,12/03/1996,quang@gmail.com
0909090903,HUY56,LONG,NAM,MHA,23,quAng@gmail.com
0987654321,Best Friends,Thien,Nam,Hue,12/09/1997,thien@gmail.com
